repo,job_id,run_id,run_attempt,workflow_path,job,event,conclusion,raw_seconds,billed_minutes,rounding_waste_seconds,queue_seconds,runner_kind,sku,labels,cost_2026,cost_2025,steps
lumina37/rotate-captcha-crack,86010756760,28984609454,1,dynamic/dependabot/update-graph,update-pip-graph,dynamic,success,42.0,1,18.0,4.0,hosted,actions_linux,ubuntu-latest,0.006,0.008,5
georghess/neurad-studio,88603278097,29820978295,1,dynamic/agents/copilot-pull-request-reviewer,copilot-pull-request-reviewer,dynamic,success,239.0,4,1.0,4.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,24
georghess/neurad-studio,100560326442,33727688530,1,.github/workflows/core_code_checks.yml,build,push,failure,1536.0,26,24.0,2.0,hosted,actions_linux,ubuntu-latest,0.156,0.208,13
georghess/neurad-studio,100853708826,33817808170,1,.github/workflows/core_code_checks.yml,build,pull_request,failure,45.0,1,15.0,1.0,hosted,actions_linux,ubuntu-latest,0.006,0.008,13
georghess/neurad-studio,100855206019,33818317893,1,.github/workflows/core_code_checks.yml,build,pull_request,failure,47.0,1,13.0,3.0,hosted,actions_linux,ubuntu-latest,0.006,0.008,13
georghess/neurad-studio,100855331423,33818359874,1,.github/workflows/core_code_checks.yml,build,pull_request,failure,69.0,2,51.0,1.0,hosted,actions_linux,ubuntu-latest,0.012,0.016,13
georghess/neurad-studio,100855542192,33818431943,1,.github/workflows/core_code_checks.yml,build,pull_request,failure,45.0,1,15.0,3.0,hosted,actions_linux,ubuntu-latest,0.006,0.008,13
NCAR/wrf-python,101217377694,33933701167,1,.github/workflows/ci.yml,"Python 3.13, ubuntu-latest",schedule,success,182.0,4,58.0,4.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101217377762,33933701167,1,.github/workflows/ci.yml,"Python 3.11, ubuntu-latest",schedule,success,225.0,4,15.0,3.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101217377782,33933701167,1,.github/workflows/ci.yml,"Python 3.12, macos-14",schedule,success,108.0,2,12.0,7.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101217377811,33933701167,1,.github/workflows/ci.yml,"Python 3.12, ubuntu-latest",schedule,success,116.0,2,4.0,3.0,hosted,actions_linux,ubuntu-latest,0.012,0.016,9
NCAR/wrf-python,101217377837,33933701167,1,.github/workflows/ci.yml,"Python 3.11, macos-14",schedule,success,130.0,3,50.0,7.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,101217377844,33933701167,1,.github/workflows/ci.yml,"Python 3.10, macos-14",schedule,success,116.0,2,4.0,7.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101217377847,33933701167,1,.github/workflows/ci.yml,"Python 3.13, macos-latest",schedule,success,162.0,3,18.0,8.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101217377848,33933701167,1,.github/workflows/ci.yml,"Python 3.13, macos-14",schedule,success,126.0,3,54.0,7.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,101217377860,33933701167,1,.github/workflows/ci.yml,"Python 3.10, macos-latest",schedule,success,101.0,2,19.0,3.0,hosted,actions_macos,macos-latest,0.124,0.16,9
NCAR/wrf-python,101217377885,33933701167,1,.github/workflows/ci.yml,"Python 3.12, macos-latest",schedule,success,108.0,2,12.0,3.0,hosted,actions_macos,macos-latest,0.124,0.16,9
NCAR/wrf-python,101217377900,33933701167,1,.github/workflows/ci.yml,"Python 3.10, ubuntu-latest",schedule,success,174.0,3,6.0,3.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,101217378015,33933701167,1,.github/workflows/ci.yml,"Python 3.11, macos-latest",schedule,success,122.0,3,58.0,7.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101402795590,34002144410,1,.github/workflows/ci.yml,"Python 3.10, macos-latest",schedule,success,134.0,3,46.0,3.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101402795654,34002144410,1,.github/workflows/ci.yml,"Python 3.13, ubuntu-latest",schedule,success,187.0,4,53.0,3.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101402795670,34002144410,1,.github/workflows/ci.yml,"Python 3.12, ubuntu-latest",schedule,success,136.0,3,44.0,3.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,101402795681,34002144410,1,.github/workflows/ci.yml,"Python 3.13, macos-latest",schedule,success,139.0,3,41.0,3.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101402795685,34002144410,1,.github/workflows/ci.yml,"Python 3.10, macos-14",schedule,success,124.0,3,56.0,8.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,101402795690,34002144410,1,.github/workflows/ci.yml,"Python 3.10, ubuntu-latest",schedule,success,195.0,4,45.0,3.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101402795693,34002144410,1,.github/workflows/ci.yml,"Python 3.12, macos-latest",schedule,success,182.0,4,58.0,10.0,hosted,actions_macos,macos-latest,0.248,0.32,9
NCAR/wrf-python,101402795709,34002144410,1,.github/workflows/ci.yml,"Python 3.11, macos-14",schedule,success,147.0,3,33.0,9.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,101402795715,34002144410,1,.github/workflows/ci.yml,"Python 3.11, macos-latest",schedule,success,123.0,3,57.0,4.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101402795719,34002144410,1,.github/workflows/ci.yml,"Python 3.11, ubuntu-latest",schedule,success,508.0,9,32.0,3.0,hosted,actions_linux,ubuntu-latest,0.054,0.072,9
NCAR/wrf-python,101402795740,34002144410,1,.github/workflows/ci.yml,"Python 3.12, macos-14",schedule,success,114.0,2,6.0,8.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101402795749,34002144410,1,.github/workflows/ci.yml,"Python 3.13, macos-14",schedule,success,142.0,3,38.0,9.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,101587674574,34070809588,1,.github/workflows/ci.yml,"Python 3.10, macos-latest",schedule,success,105.0,2,15.0,6.0,hosted,actions_macos,macos-latest,0.124,0.16,9
NCAR/wrf-python,101587674668,34070809588,1,.github/workflows/ci.yml,"Python 3.11, ubuntu-latest",schedule,success,217.0,4,23.0,3.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101587674675,34070809588,1,.github/workflows/ci.yml,"Python 3.11, macos-latest",schedule,success,125.0,3,55.0,7.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101587674705,34070809588,1,.github/workflows/ci.yml,"Python 3.12, macos-14",schedule,success,114.0,2,6.0,7.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101587674737,34070809588,1,.github/workflows/ci.yml,"Python 3.13, ubuntu-latest",schedule,success,190.0,4,50.0,2.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101587674739,34070809588,1,.github/workflows/ci.yml,"Python 3.13, macos-14",schedule,success,101.0,2,19.0,7.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101587674745,34070809588,1,.github/workflows/ci.yml,"Python 3.10, macos-14",schedule,success,114.0,2,6.0,7.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101587674773,34070809588,1,.github/workflows/ci.yml,"Python 3.13, macos-latest",schedule,success,149.0,3,31.0,8.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101587674786,34070809588,1,.github/workflows/ci.yml,"Python 3.12, ubuntu-latest",schedule,success,132.0,3,48.0,3.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,101587674790,34070809588,1,.github/workflows/ci.yml,"Python 3.10, ubuntu-latest",schedule,success,155.0,3,25.0,3.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,101587674842,34070809588,1,.github/workflows/ci.yml,"Python 3.11, macos-14",schedule,success,96.0,2,24.0,8.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101587674882,34070809588,1,.github/workflows/ci.yml,"Python 3.12, macos-latest",schedule,success,157.0,3,23.0,9.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101859116360,34159830647,1,dynamic/dependabot/dependabot-updates,Dependabot,dynamic,success,42.0,1,18.0,4.0,hosted,actions_linux,ubuntu-latest,0.006,0.008,5
NCAR/wrf-python,101900127916,34174154421,1,.github/workflows/ci.yml,"Python 3.10, macos-latest",schedule,success,152.0,3,28.0,8.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101900128013,34174154421,1,.github/workflows/ci.yml,"Python 3.13, macos-14",schedule,success,90.0,2,30.0,6.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101900128017,34174154421,1,.github/workflows/ci.yml,"Python 3.13, ubuntu-latest",schedule,success,217.0,4,23.0,4.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101900128025,34174154421,1,.github/workflows/ci.yml,"Python 3.10, macos-14",schedule,success,104.0,2,16.0,6.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,101900128041,34174154421,1,.github/workflows/ci.yml,"Python 3.11, macos-latest",schedule,success,162.0,3,18.0,7.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101900128045,34174154421,1,.github/workflows/ci.yml,"Python 3.12, macos-14",schedule,failure,2701.0,46,59.0,9.0,hosted,actions_macos,macos-14,2.852,3.68,8
NCAR/wrf-python,101900128061,34174154421,1,.github/workflows/ci.yml,"Python 3.12, macos-latest",schedule,success,113.0,2,7.0,6.0,hosted,actions_macos,macos-latest,0.124,0.16,9
NCAR/wrf-python,101900128065,34174154421,1,.github/workflows/ci.yml,"Python 3.10, ubuntu-latest",schedule,success,182.0,4,58.0,3.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
NCAR/wrf-python,101900128066,34174154421,1,.github/workflows/ci.yml,"Python 3.12, ubuntu-latest",schedule,success,129.0,3,51.0,3.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,101900128075,34174154421,1,.github/workflows/ci.yml,"Python 3.11, ubuntu-latest",schedule,success,576.0,10,24.0,3.0,hosted,actions_linux,ubuntu-latest,0.06,0.08,9
NCAR/wrf-python,101900128144,34174154421,1,.github/workflows/ci.yml,"Python 3.13, macos-latest",schedule,success,121.0,3,59.0,8.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,101900128180,34174154421,1,.github/workflows/ci.yml,"Python 3.11, macos-14",schedule,success,102.0,2,18.0,7.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,102292853055,34296064251,1,.github/workflows/ci.yml,"Python 3.12, macos-latest",schedule,success,169.0,3,11.0,11.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,102292853185,34296064251,1,.github/workflows/ci.yml,"Python 3.10, macos-14",schedule,success,122.0,3,58.0,8.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,102292853212,34296064251,1,.github/workflows/ci.yml,"Python 3.13, macos-latest",schedule,success,104.0,2,16.0,6.0,hosted,actions_macos,macos-latest,0.124,0.16,9
NCAR/wrf-python,102292853219,34296064251,1,.github/workflows/ci.yml,"Python 3.12, ubuntu-latest",schedule,success,144.0,3,36.0,3.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,102292853252,34296064251,1,.github/workflows/ci.yml,"Python 3.11, macos-14",schedule,success,126.0,3,54.0,9.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,102292853259,34296064251,1,.github/workflows/ci.yml,"Python 3.12, macos-14",schedule,success,138.0,3,42.0,10.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,102292853261,34296064251,1,.github/workflows/ci.yml,"Python 3.13, ubuntu-latest",schedule,success,179.0,3,1.0,4.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,102292853264,34296064251,1,.github/workflows/ci.yml,"Python 3.11, ubuntu-latest",schedule,success,397.0,7,23.0,3.0,hosted,actions_linux,ubuntu-latest,0.042,0.056,9
NCAR/wrf-python,102292853273,34296064251,1,.github/workflows/ci.yml,"Python 3.11, macos-latest",schedule,success,127.0,3,53.0,7.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,102292853284,34296064251,1,.github/workflows/ci.yml,"Python 3.13, macos-14",schedule,success,119.0,2,1.0,8.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,102292853289,34296064251,1,.github/workflows/ci.yml,"Python 3.10, macos-latest",schedule,success,150.0,3,30.0,9.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,102292853315,34296064251,1,.github/workflows/ci.yml,"Python 3.10, ubuntu-latest",schedule,success,157.0,3,23.0,4.0,hosted,actions_linux,ubuntu-latest,0.018,0.024,9
NCAR/wrf-python,102699922253,34422219748,1,.github/workflows/ci.yml,"Python 3.10, macos-14",schedule,success,104.0,2,16.0,8.0,hosted,actions_macos,macos-14,0.124,0.16,9
NCAR/wrf-python,102699922396,34422219748,1,.github/workflows/ci.yml,"Python 3.12, macos-14",schedule,success,125.0,3,55.0,8.0,hosted,actions_macos,macos-14,0.186,0.24,9
NCAR/wrf-python,102699922410,34422219748,1,.github/workflows/ci.yml,"Python 3.10, macos-latest",schedule,success,124.0,3,56.0,6.0,hosted,actions_macos,macos-latest,0.186,0.24,9
NCAR/wrf-python,102699922503,34422219748,1,.github/workflows/ci.yml,"Python 3.10, ubuntu-latest",schedule,success,199.0,4,41.0,2.0,hosted,actions_linux,ubuntu-latest,0.024,0.032,9
