repo,language,star_bucket,stars_at_selection,rank_in_cell,scan_status,private,default_branch,workflow_files,workflow_files_parsed,config_jobs,has_workflows,uses_cache_any_job,jobs_with_install_steps,install_jobs_with_cache,timeout_any_job,timeout_all_jobs,concurrency_cancel_any_pr_workflow,pr_workflows,scheduled_workflows,runs_total_in_window_90d,runs_listed,runs_failed_listed,runs_scheduled_listed,runs_with_job_data,jobs_sampled,billed_minutes_sampled,raw_seconds_sampled,rounding_waste_minutes_sampled,list_price_2026_sampled,list_price_2025_sampled,priced_minutes_sampled,self_hosted_minutes_sampled,unpriced_hosted_minutes_sampled,avg_billed_minutes_per_run_sampled,est_billed_minutes_90d,est_list_price_2026_90d,markdown_files,top_level_dirs,scanned_at,api_requests
lumina37/rotate-captcha-crack,Python,100-499,499,1,done,False,master,0.0,0.0,0.0,False,False,0.0,0.0,False,False,False,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,42.0,0.3,0.006,0.008,1.0,0.0,0.0,1.0,1.0,0.01,2.0,1.0,2026-09-11T18:41:40Z,6.0
georghess/neurad-studio,Python,100-499,499,2,done,False,main,1.0,1.0,1.0,True,True,1.0,1.0,False,False,False,1.0,0.0,12.0,12.0,8.0,0.0,6.0,6.0,35.0,1981.0,2.0,0.21,0.28,35.0,0.0,0.0,5.83,70.0,0.42,5.0,6.0,2026-09-11T18:41:50Z,14.0
NCAR/wrf-python,Python,100-499,499,3,done,False,develop,2.0,2.0,3.0,True,False,3.0,0.0,False,False,True,1.0,1.0,119.0,118.0,1.0,90.0,8.0,85.0,314.0,16335.0,41.8,12.412,16.048,314.0,0.0,0.0,39.25,4671.0,184.63,26.0,8.0,2026-09-11T18:42:10Z,16.0
Kichi779/Twitch-Viewer-Bot,Python,100-499,499,4,done,False,main,0.0,0.0,0.0,False,False,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2026-09-11T18:42:13Z,5.0
pytest-dev/pytest-flask,Python,100-499,499,5,done,False,master,2.0,2.0,4.0,True,False,1.0,0.0,False,False,True,1.0,0.0,7.0,7.0,3.0,0.0,7.0,13.0,12.0,458.0,4.4,0.072,0.096,12.0,0.0,0.0,1.71,12.0,0.07,12.0,5.0,2026-09-11T18:42:22Z,14.0
Kohaku-Lab/KohakuTerrarium,Python,100-499,499,6,done,False,main,5.0,5.0,18.0,True,True,16.0,1.0,True,False,False,2.0,2.0,585.0,200.0,92.0,32.0,8.0,45.0,263.0,14368.0,23.5,5.13,6.928,263.0,0.0,0.0,32.88,19232.0,375.13,405.0,9.0,2026-09-11T18:42:41Z,19.0
canonical/maas,Python,100-499,499,7,done,False,master,12.0,12.0,20.0,True,True,6.0,2.0,True,False,False,3.0,3.0,4208.0,200.0,13.0,4.0,8.0,16.0,121.0,6713.0,9.1,0.718,0.956,121.0,0.0,0.0,15.12,63646.0,377.67,101.0,10.0,2026-09-11T18:43:02Z,26.0
joeseesun/qiaomu-markdown-proxy,Python,100-499,499,8,done,False,main,0.0,0.0,0.0,False,False,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2026-09-11T18:43:04Z,5.0
googlefonts/morisawa-biz-ud-mincho,Python,100-499,499,9,done,False,main,1.0,1.0,2.0,True,True,1.0,1.0,False,False,False,0.0,0.0,6.0,6.0,3.0,0.0,6.0,10.0,6.0,158.0,3.4,0.036,0.048,6.0,0.0,0.0,1.0,6.0,0.04,3.0,6.0,2026-09-11T18:43:11Z,12.0
skelsec/msldap,Python,100-499,499,10,done,False,main,1.0,1.0,1.0,True,False,1.0,0.0,False,False,False,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,273.0,1.4,0.052,0.08,6.0,0.0,0.0,3.0,6.0,0.05,15.0,7.0,2026-09-11T18:43:15Z,8.0
