repo,path,parse_error,name,events,crons,jobs,reusable_call_jobs,jobs_with_timeout,jobs_with_matrix,max_matrix_legs,concurrency_cancel,has_path_filter,jobs_with_cache,jobs_with_install,runs_listed
georghess/neurad-studio,.github/workflows/core_code_checks.yml,,Core Tests.,"push,pull_request",,1,0,0,0,0,False,False,1,1,10
NCAR/wrf-python,.github/workflows/ci.yml,,CI,"push,pull_request,workflow_dispatch,schedule",0 0 * * *,1,0,0,1,12,True,False,0,1,102
NCAR/wrf-python,.github/workflows/pypi.yaml,,Upload wrf-python to PyPI,release,,2,0,0,0,0,False,False,0,2,0
pytest-dev/pytest-flask,.github/workflows/deploy.yml,,deploy,workflow_dispatch,,2,0,0,0,0,False,False,0,0,0
pytest-dev/pytest-flask,.github/workflows/test.yml,,test,"push,pull_request",,2,0,0,1,10,True,False,0,1,6
Kohaku-Lab/KohakuTerrarium,.github/workflows/android.yml,,Android,"push,pull_request,workflow_dispatch",,2,0,2,0,0,False,True,1,2,2
Kohaku-Lab/KohakuTerrarium,.github/workflows/auto-patch-release.yml,,Auto Patch Release,"schedule,workflow_dispatch",0 5 * * *,1,0,0,0,0,False,False,0,1,17
Kohaku-Lab/KohakuTerrarium,.github/workflows/ci.yml,,CI,"push,pull_request",,6,0,0,1,8,False,False,0,6,140
Kohaku-Lab/KohakuTerrarium,.github/workflows/nightly.yml,,Nightly,"schedule,workflow_dispatch",0 3 * * *,1,0,0,0,0,False,False,0,1,21
Kohaku-Lab/KohakuTerrarium,.github/workflows/release.yml,,Release,"push,workflow_dispatch",,8,0,0,3,3,False,False,0,6,9
canonical/maas,.github/workflows/api-client-sync.yaml,,Update FE API client on contract change,push,,1,0,0,0,0,False,False,1,1,6
canonical/maas,.github/workflows/build-env.yaml,,Create and publish a Docker image,workflow_dispatch,,1,0,0,0,0,False,False,0,0,0
canonical/maas,.github/workflows/ci-workshop.yaml,,CI check using workshop,workflow_dispatch,,1,0,0,0,0,False,False,0,0,0
canonical/maas,.github/workflows/ci.yaml,,CI check,"pull_request,merge_group,workflow_dispatch",,8,0,0,0,0,False,False,0,1,53
canonical/maas,.github/workflows/cla.yaml,,CLA check,"pull_request,merge_group",,1,0,0,0,0,False,False,0,0,52
canonical/maas,.github/workflows/initial-sql-update.yaml,,Update Initial SQL File,schedule,0 0 * * *,1,0,0,0,0,False,False,0,0,2
canonical/maas,.github/workflows/lp-bug-update.yaml,,Update Launchpad Bug,push,,1,0,0,0,0,False,False,0,1,11
canonical/maas,.github/workflows/maas-ui-sync.yaml,,Update maas-ui sync git submodule,"workflow_dispatch,schedule,push",0 0 * * *,1,0,0,1,4,False,False,0,1,2
canonical/maas,.github/workflows/review-pr.yml,,LLM Code Review,pull_request_target,,1,0,0,0,0,False,False,0,0,17
canonical/maas,.github/workflows/send-mm-notification.yaml,,Send Mattermost notification,workflow_run,,1,0,0,0,0,False,False,0,0,56
canonical/maas,.github/workflows/tics.yaml,,Test coverage and TiCS Report,"workflow_dispatch,schedule,push",30 0 * * 6,2,0,2,0,0,False,False,1,2,0
canonical/maas,.github/workflows/version-bump.yaml,,Bump MAAS Version,workflow_dispatch,,1,0,0,0,0,False,False,0,0,0
googlefonts/morisawa-biz-ud-mincho,.github/workflows/build.yaml,,Build font and specimen,"push,release",,2,0,0,0,0,False,False,1,1,1
skelsec/msldap,.github/workflows/python-windows-exe.yml,,Build Windows Executable - PyInstaller,push,,1,0,0,0,0,False,False,0,1,1
Matteo842/SaveState,.github/workflows/build-and-sign.yml,,"🚀 Build, Package, and Release (Nuitka & SignPath)","workflow_dispatch,release",,5,0,1,0,0,False,False,0,2,14
WhiteNightShadow/camoufox-reverse-mcp,.github/workflows/ci.yml,,CI,"pull_request,push,workflow_dispatch",,2,0,0,2,6,False,False,2,2,35
WhiteNightShadow/camoufox-reverse-mcp,.github/workflows/release.yml,,Release,workflow_run,,1,0,0,0,0,False,False,1,1,32
anthropics/k12-teacher-skills,.github/workflows/cla.yaml,,CLA Assistant,"issue_comment,pull_request_target,merge_group",,1,0,1,0,0,False,False,0,0,24
tenpy/tenpy,.github/workflows/code-coverage.yml,,Code Coverage,push,,1,0,0,0,0,False,False,0,1,21
tenpy/tenpy,.github/workflows/doc-build.yml,,Sphinx Build and Doctest,"push,pull_request",,1,0,0,0,0,False,False,0,0,27
tenpy/tenpy,.github/workflows/linting.yml,,Linting,"push,pull_request",,1,0,0,0,0,False,False,0,1,47
tenpy/tenpy,.github/workflows/print_coverage_in_PR.yml,,Notify about Coverage,pull_request_target,,2,0,0,0,0,False,False,0,1,0
tenpy/tenpy,.github/workflows/publish.yml,,Publish to (Test)PyPI,"release,push",,2,0,0,1,3,False,False,0,2,8
tenpy/tenpy,.github/workflows/pytest.yml,,Run Pytest,"push,pull_request",,1,0,0,1,7,False,False,0,1,47
tenpy/tenpy,.github/workflows/pytest_old_numpy.yml,,Run Pytest (old numpy),push,,1,0,0,1,9,False,False,0,1,8
tenpy/tenpy,.github/workflows/test-notebooks.yml,,Test notebooks,"push,pull_request",,1,0,0,0,0,False,False,0,1,42
geezacoleman/OpenWeedLocator,.github/workflows/tests.yml,,Tests,"push,pull_request",,1,0,0,0,0,False,False,0,1,1
httpwg/http-extensions,.github/workflows/archive.yml,,Archive Issues and Pull Requests,"schedule,repository_dispatch,workflow_dispatch","0 0 * * 0,2,4",1,0,0,0,0,False,False,0,0,29
httpwg/http-extensions,.github/workflows/ghpages.yml,,Update Editor's Copy,"push,pull_request",,1,0,0,0,0,False,True,1,0,89
httpwg/http-extensions,.github/workflows/publish.yml,,Publish New Draft Version,"push,workflow_dispatch",,1,0,0,0,0,False,False,1,0,8
httpwg/http-extensions,.github/workflows/update.yml,,Update Generated Files,workflow_dispatch,,1,0,0,0,0,False,False,0,0,0
trailofbits/skills-curated,.github/workflows/lint.yml,,Lint,"push,pull_request",,4,0,0,0,0,True,False,0,1,4
trailofbits/skills-curated,.github/workflows/security-scan.yml,,Security Scan,pull_request,,1,0,0,0,0,True,False,1,0,3
trailofbits/skills-curated,.github/workflows/validate.yml,,Validate,"push,pull_request",,1,0,0,0,0,True,False,0,0,4
caura-ai/caura,.github/workflows/ci.yml,,CI,pull_request,,4,0,2,0,0,False,False,1,1,25
caura-ai/caura,.github/workflows/claude_code_review.yml,,Claude Code Review,"pull_request,issue_comment,workflow_dispatch",,4,0,1,0,0,False,False,0,3,45
caura-ai/caura,.github/workflows/client-python-ci.yml,,Client (Python) CI,"pull_request,push",,1,0,0,0,0,False,True,0,1,0
caura-ai/caura,.github/workflows/client-typescript-ci.yml,,Client (TypeScript) CI,"pull_request,push",,1,0,0,0,0,False,True,0,1,2
caura-ai/caura,.github/workflows/codeql.yml,,CodeQL,"push,pull_request,schedule",0 7 * * 1,1,0,0,1,2,False,False,0,0,33
caura-ai/caura,.github/workflows/dco.yml,,DCO,pull_request,,1,0,0,0,0,False,False,0,0,25
caura-ai/caura,.github/workflows/labels-sync.yml,,Sync labels,"push,workflow_dispatch",,1,0,0,0,0,False,True,0,0,0
caura-ai/caura,.github/workflows/legacy-name-ratchet.yml,,Legacy-name ratchet,"pull_request,merge_group",,1,0,1,0,0,False,False,0,1,25
caura-ai/caura,.github/workflows/notify-enterprise-staging.yml,,notify-enterprise-staging,"push,workflow_dispatch",,1,0,1,0,0,True,False,0,0,8
caura-ai/caura,.github/workflows/publish-docker.yml,,publish-docker,"release,workflow_dispatch",,1,0,0,1,2,False,False,1,0,3
caura-ai/caura,.github/workflows/publish-npm-caura-client.yml,,Publish the caura-client alias,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/publish-npm-caura-sdk.yml,,Publish the caura-sdk alias,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/publish-npm-client.yml,,Publish the canonical TypeScript client to npm,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/publish-npm-sdk.yml,,Publish the @caura/sdk alias,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/publish-python-client.yml,,Publish caura-client to PyPI,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/publish-python-metapackage.yml,,Publish the caura metapackage to PyPI,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/publish-python-sdk.yml,,Publish caura-sdk to PyPI,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,1,0
caura-ai/caura,.github/workflows/release-please.yml,,release-please,"push,workflow_dispatch",,1,0,0,0,0,False,False,0,0,8
caura-ai/caura,.github/workflows/security-scan.yml,,Security Scan,"pull_request,schedule,workflow_dispatch",0 6 * * 1,1,0,0,0,0,False,False,1,1,25
caura-ai/caura,.github/workflows/stale.yml,,Mark stale,"schedule,workflow_dispatch",30 4 * * *,1,0,0,0,0,False,False,0,0,1
caura-ai/caura,.github/workflows/verify-npm-credential.yml,,Verify the npm credential,workflow_dispatch,,1,0,0,0,0,False,False,0,1,0
plotly/Kaleido,.github/workflows/publish_testpypi.yml,,test-n-build,"workflow_dispatch,push",,2,0,0,1,18,False,False,2,2,2
plotly/Kaleido,.github/workflows/ruff.yml,,ruff-wf,pull_request,,1,0,0,0,0,False,False,0,0,19
plotly/Kaleido,.github/workflows/test.yml,,test-wf,"pull_request,push",,1,0,0,1,3,False,False,1,1,19
stefankoegl/python-json-patch,.github/workflows/test.yaml,,Python package,push,,1,0,0,1,6,False,False,0,1,1
ColdWindScholar/MIO-KITCHEN-SOURCE,.github/workflows/main.yml,,Build Tool,"push,workflow_dispatch",,4,0,0,2,2,False,True,0,4,29
